,Season,Name,Team,Age,W,L,ERA,WAR,G,GS,CG,ShO,SV,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GB,FB,LD,IFFB,Balls,Strikes,Pitches,RS,IFH,BU,BUH,K/9,BB/9,K/BB,H/9,HR/9,AVG,WHIP,BABIP,LOB%,FIP,GB/FB,LD%,GB%,IFFB%,HR/FB,IFH%,BUH%,Starting,Start-IP,Relieving,Relief-IP,RAR,Dollars,tERA,xFIP,WPA,-WPA,+WPA,RE24,REW,pLI,inLI,gmLI,exLI,Pulls,WPA/LI,Clutch,FB%,FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,PO%,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,HLD,SD,MD,ERA-,FIP-,xFIP-,K%,BB%,SIERA,RS/9,E-F,FA% (pfx),FT% (pfx),FC% (pfx),FS% (pfx),FO% (pfx),SI% (pfx),SL% (pfx),CU% (pfx),KC% (pfx),EP% (pfx),CH% (pfx),SC% (pfx),KN% (pfx),UN% (pfx),vFA (pfx),vFT (pfx),vFC (pfx),vFS (pfx),vFO (pfx),vSI (pfx),vSL (pfx),vCU (pfx),vKC (pfx),vEP (pfx),vCH (pfx),vSC (pfx),vKN (pfx),FA-X (pfx),FT-X (pfx),FC-X (pfx),FS-X (pfx),FO-X (pfx),SI-X (pfx),SL-X (pfx),CU-X (pfx),KC-X (pfx),EP-X (pfx),CH-X (pfx),SC-X (pfx),KN-X (pfx),FA-Z (pfx),FT-Z (pfx),FC-Z (pfx),FS-Z (pfx),FO-Z (pfx),SI-Z (pfx),SL-Z (pfx),CU-Z (pfx),KC-Z (pfx),EP-Z (pfx),CH-Z (pfx),SC-Z (pfx),KN-Z (pfx),wFA (pfx),wFT (pfx),wFC (pfx),wFS (pfx),wFO (pfx),wSI (pfx),wSL (pfx),wCU (pfx),wKC (pfx),wEP (pfx),wCH (pfx),wSC (pfx),wKN (pfx),wFA/C (pfx),wFT/C (pfx),wFC/C (pfx),wFS/C (pfx),wFO/C (pfx),wSI/C (pfx),wSL/C (pfx),wCU/C (pfx),wKC/C (pfx),wEP/C (pfx),wCH/C (pfx),wSC/C (pfx),wKN/C (pfx),O-Swing% (pfx),Z-Swing% (pfx),Swing% (pfx),O-Contact% (pfx),Z-Contact% (pfx),Contact% (pfx),Zone% (pfx),Pace,RA9-WAR,BIP-Wins,LOB-Wins,FDP-Wins,Age Rng,K-BB%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,kwERA,TTO%,CH% (pi),CS% (pi),CU% (pi),FA% (pi),FC% (pi),FS% (pi),KN% (pi),SB% (pi),SI% (pi),SL% (pi),XX% (pi),vCH (pi),vCS (pi),vCU (pi),vFA (pi),vFC (pi),vFS (pi),vKN (pi),vSB (pi),vSI (pi),vSL (pi),vXX (pi),CH-X (pi),CS-X (pi),CU-X (pi),FA-X (pi),FC-X (pi),FS-X (pi),KN-X (pi),SB-X (pi),SI-X (pi),SL-X (pi),XX-X (pi),CH-Z (pi),CS-Z (pi),CU-Z (pi),FA-Z (pi),FC-Z (pi),FS-Z (pi),KN-Z (pi),SB-Z (pi),SI-Z (pi),SL-Z (pi),XX-Z (pi),wCH (pi),wCS (pi),wCU (pi),wFA (pi),wFC (pi),wFS (pi),wKN (pi),wSB (pi),wSI (pi),wSL (pi),wXX (pi),wCH/C (pi),wCS/C (pi),wCU/C (pi),wFA/C (pi),wFC/C (pi),wFS/C (pi),wKN/C (pi),wSB/C (pi),wSI/C (pi),wSL/C (pi),wXX/C (pi),O-Swing% (pi),Z-Swing% (pi),Swing% (pi),O-Contact% (pi),Z-Contact% (pi),Contact% (pi),Zone% (pi),Pace (pi)
94,2020.0,Shane Bieber,Indians,25.0,6.0,0.0,1.35,2.1,7.0,7.0,0.0,0.0,0.0,0.0,46.2,175.0,29.0,7.0,7.0,4.0,9.0,0.0,1.0,2.0,0.0,75.0,46.0,24.0,20.0,0.0,254.0,451.0,705.0,18.0,4.0,0.0,0.0,14.46,1.74,8.33,5.59,0.77,0.176,0.81,0.291,0.958,1.68,1.92,0.222,0.511,0.0,0.16699999999999998,0.087,0.0,18.4,46.2,,,18.4,$16.8,2.13,1.57,2.0,-2.12,4.12,19.07,1.8,1.05,1.09,0.87,1.46,7.0,1.61,0.3,0.34,94.1,0.152,84.2,0.19,89.0,0.254,83.2,0.064,88.0,,,,,,,3.8,2.1,3.0,6.1,0.8,,,1.58,2.01,2.23,3.43,1.78,,,0.389,0.647,0.474,0.419,0.84,0.608,0.32899999999999996,0.6459999999999999,0.18600000000000003,0.0,0.0,0.0,29.0,38.0,36.0,0.429,0.051,2.09,3.47,-0.33,0.33899999999999997,,0.19,,,,0.153,,0.253,,0.065,,,,94.0,,88.9,,,,84.1,,83.1,,88.0,,,-5.2,,0.9,,,,0.3,,4.8,,-9.0,,,10.6,,4.9,,,,-2.3,,-7.8,,3.7,,,4.5,,0.5,,,,3.5,,9.7,,1.4,,,1.88,,0.35,,,,3.25,,5.46,,3.14,,,0.376,0.607,0.474,0.386,0.7959999999999999,0.608,0.423,,2.8,0.0,0.7,0.7,25 - 25,0.377,0.37799999999999995,0.41100000000000003,0.21100000000000002,0.156,0.5,0.344,1.6,0.503,0.064,,0.253,0.33899999999999997,0.19,,,,0.001,0.153,,88.3,,83.5,94.4,89.2,,,,94.7,84.5,,-9.0,,5.3,-4.9,1.4,,,,-8.7,0.8,,2.7,,-9.1,9.9,4.2,,,,8.1,-3.2,,0.9,,6.6,4.1,3.0,,,,0.0,1.7,,1.89,,3.68,1.7,2.26,,,,4.13,1.57,,0.379,0.605,0.474,0.374,0.81,0.608,0.42,
103,2020.0,Yu Darvish,Cubs,33.0,6.0,1.0,1.47,1.8,7.0,7.0,0.0,0.0,0.0,0.0,43.0,169.0,35.0,7.0,7.0,2.0,8.0,0.0,2.0,2.0,0.0,52.0,41.0,31.0,33.0,2.0,216.0,445.0,661.0,22.0,2.0,1.0,0.0,10.88,1.67,6.5,7.33,0.42,0.22,1.0,0.314,0.9009999999999999,2.02,1.32,0.314,0.39,0.065,0.065,0.049,0.0,16.5,43.0,,,16.5,$14.5,3.3,2.83,1.88,-2.26,4.14,16.0,1.56,1.16,1.07,0.89,1.08,7.0,1.31,0.31,0.248,95.5,0.14800000000000002,82.1,0.40399999999999997,86.8,0.129,77.7,0.013999999999999999,88.1,0.057999999999999996,90.9,,,,,0.8,3.0,6.5,1.4,0.2,0.7,,0.51,3.04,2.43,1.64,2.66,1.97,,0.341,0.657,0.489,0.467,0.778,0.6629999999999999,0.46799999999999997,0.615,0.165,0.0,0.0,0.0,33.0,45.0,63.0,0.308,0.047,3.16,4.6,-0.56,0.151,,0.475,0.026000000000000002,,0.085,0.15,0.035,0.076,,,,,,95.9,,87.2,89.3,,95.3,81.9,73.8,79.2,,,,,-4.1,,1.8,-7.0,,-8.1,7.5,5.3,4.9,,,,,10.6,,0.4,5.7,,7.4,-1.5,-7.8,-7.2,,,,,4.7,,4.3,0.9,,0.7,3.7,0.1,0.9,,,,,4.7,,1.36,5.23,,1.29,3.72,0.36,1.87,,,,,0.301,0.6559999999999999,0.49,0.344,0.792,0.664,0.5329999999999999,,2.4,-0.3,0.9,0.6,33 - 33,0.26,0.425,0.34,0.23600000000000002,0.198,0.377,0.425,3.0,0.36700000000000005,0.008,0.012,0.191,0.157,0.053,0.061,,,0.08800000000000001,0.431,,89.2,69.9,79.8,96.4,92.4,91.0,,,95.3,86.1,,-7.0,6.3,6.2,-3.7,1.0,-2.0,,,-7.7,3.9,,4.8,-9.9,-6.6,9.8,6.2,2.1,,,6.4,-1.4,,0.3,0.2,1.3,0.1,-1.4,0.5,,,0.8,11.7,,5.65,2.49,1.04,0.13,-4.04,1.35,,,1.38,4.1,,0.314,0.633,0.49,0.33299999999999996,0.797,0.664,0.552,
115,2020.0,Jacob deGrom,Mets,32.0,2.0,0.0,1.8,1.6,6.0,6.0,0.0,0.0,0.0,0.0,35.0,133.0,22.0,7.0,7.0,2.0,7.0,0.0,0.0,3.0,0.0,49.0,40.0,24.0,13.0,1.0,182.0,375.0,557.0,19.0,3.0,0.0,0.0,12.6,1.8,7.0,5.66,0.51,0.175,0.83,0.267,0.84,1.68,1.67,0.16899999999999998,0.519,0.042,0.083,0.075,0.0,14.5,35.0,,,14.5,$12.8,1.6,2.28,1.22,-1.28,2.5,9.81,1.04,0.91,0.97,0.87,1.22,6.0,1.11,0.23,0.439,98.5,0.331,92.7,,,0.04,83.7,0.191,91.1,,,,,0.002,,5.8,2.1,,1.3,2.7,,,2.38,1.15,,6.12,2.54,,,0.382,0.72,0.514,0.496,0.7390000000000001,0.629,0.392,0.5870000000000001,0.19,0.0,0.0,0.0,42.0,38.0,50.0,0.368,0.053,2.58,4.89,0.12,0.44,,,,,,0.33,0.04,,,0.19,,,,98.5,,,,,,92.7,83.6,,,91.0,,,-4.1,,,,,,1.4,3.8,,,-8.0,,,9.4,,,,,,3.1,-2.5,,,2.0,,,4.1,,,,,,3.5,1.1,,,3.8,,,1.65,,,,,,1.91,4.84,,,3.61,,,0.32299999999999995,0.691,0.514,0.35600000000000004,0.7490000000000001,0.629,0.517,,1.7,0.1,0.0,0.1,32 - 32,0.316,0.377,0.35100000000000003,0.273,0.182,0.39,0.429,2.34,0.436,0.191,,0.04,0.439,,,,,,0.331,,91.5,,84.1,99.0,,,,,,93.2,,-7.7,,4.2,-3.5,,,,,,2.1,,0.9,,-3.6,8.6,,,,,,2.1,,2.7,,1.3,5.9,,,,,,2.1,,2.59,,6.12,2.43,,,,,,1.12,,0.321,0.6940000000000001,0.514,0.384,0.735,0.629,0.518,
93,2020.0,Max Fried,Braves,26.0,5.0,0.0,1.35,1.5,7.0,7.0,0.0,0.0,0.0,0.0,40.0,153.0,26.0,6.0,6.0,0.0,12.0,0.0,2.0,0.0,0.0,38.0,57.0,26.0,18.0,3.0,226.0,388.0,614.0,31.0,4.0,0.0,0.0,8.55,2.7,3.17,5.85,0.0,0.187,0.95,0.257,0.85,2.29,2.19,0.17800000000000002,0.564,0.115,0.0,0.07,0.0,14.4,40.0,,,14.4,$12.3,2.38,3.56,1.43,-1.96,3.39,15.02,1.49,1.08,1.06,0.89,1.41,7.0,1.29,0.03,0.515,93.5,0.24100000000000002,84.4,,,0.207,74.5,0.038,84.0,,,,,,,7.2,2.5,,-0.1,0.4,,,2.28,1.72,,-0.11,1.95,,,0.317,0.6970000000000001,0.474,0.57,0.8590000000000001,0.746,0.414,0.608,0.121,0.0,0.0,0.0,30.0,51.0,79.0,0.248,0.078,3.83,6.98,-0.94,0.456,,,,,0.059000000000000004,0.24100000000000002,0.207,,,0.038,,,,93.5,,,,,92.9,84.3,74.5,,,84.0,,,1.5,,,,,7.3,-6.4,-5.9,,,5.8,,,6.6,,,,,5.2,0.1,-9.9,,,3.5,,,5.6,,,,,-0.1,2.9,3.6,,,0.8,,,1.99,,,,,-0.41,1.96,2.86,,,3.39,,,0.28300000000000003,0.67,0.474,0.511,0.847,0.746,0.494,,2.3,0.3,0.5,0.7,26 - 26,0.17,0.455,0.297,0.248,0.248,0.436,0.317,4.09,0.327,0.038,,0.207,0.43,,,,,0.085,0.239,0.002,84.2,,74.8,93.8,,,,,93.4,84.6,99.4,5.7,,-6.4,0.9,,,,,6.3,-7.1,1.2,2.6,,-11.4,6.0,,,,,4.4,-1.0,7.9,0.4,,0.0,4.3,,,,,2.9,2.6,-0.1,1.95,,-0.03,1.65,,,,,5.6,1.79,-8.6,0.278,0.66,0.474,0.506,0.841,0.746,0.513,
126,2020.0,Sonny Gray,Reds,30.0,5.0,1.0,1.94,1.5,7.0,7.0,0.0,0.0,0.0,0.0,41.2,167.0,27.0,12.0,9.0,3.0,15.0,0.0,2.0,4.0,0.0,55.0,41.0,26.0,28.0,4.0,258.0,421.0,679.0,32.0,3.0,0.0,0.0,11.88,3.24,3.67,5.83,0.65,0.18,1.01,0.261,0.804,2.66,1.58,0.295,0.43200000000000005,0.154,0.115,0.073,0.0,14.0,41.2,,,14.0,$11.9,3.71,2.94,1.27,-2.03,3.3,13.06,1.26,1.0,0.98,0.9,1.14,7.0,0.83,0.43,0.526,93.2,0.158,83.2,,,0.278,80.7,0.038,89.8,,,,,,,6.2,-0.4,,3.0,1.4,,,1.74,-0.33,,1.59,5.21,,,0.27899999999999997,0.5820000000000001,0.396,0.56,0.8370000000000001,0.718,0.387,0.551,0.11199999999999999,0.0,0.0,0.0,42.0,58.0,65.0,0.32899999999999996,0.09,3.38,6.91,-0.72,0.292,,,,,0.23,0.166,0.27,,,0.043,,,,93.2,,,,,93.1,82.9,80.7,,,89.8,,,-1.7,,,,,-7.3,9.0,8.4,,,-8.1,,,8.8,,,,,6.0,-3.1,-7.0,,,7.4,,,0.2,,,,,8.4,2.2,3.6,,,0.6,,,0.08,,,,,5.39,1.94,1.99,,,2.12,,,0.239,0.574,0.396,0.488,0.825,0.718,0.47,,1.7,0.2,0.0,0.2,30 - 30,0.24,0.474,0.326,0.2,0.147,0.42100000000000004,0.43200000000000005,3.25,0.43700000000000006,0.01,,0.253,0.282,0.003,,,,0.271,0.182,,89.2,,81.0,93.5,91.6,,,,93.3,83.5,,-7.1,,8.7,-1.2,2.0,,,,-7.3,9.7,,7.2,,-8.2,8.2,5.8,,,,5.3,-4.3,,-0.3,,2.9,3.7,0.3,,,,6.3,1.2,,-3.95,,1.48,1.71,14.69,,,,3.01,0.85,,0.24600000000000002,0.569,0.39799999999999996,0.48,0.826,0.713,0.47200000000000003,
218,2020.0,Lucas Giolito,White Sox,25.0,3.0,2.0,3.09,1.5,7.0,7.0,1.0,1.0,0.0,0.0,43.2,170.0,27.0,16.0,15.0,3.0,17.0,0.0,2.0,2.0,0.0,58.0,43.0,29.0,20.0,6.0,246.0,433.0,679.0,21.0,3.0,1.0,0.0,11.95,3.5,3.41,5.56,0.62,0.179,1.01,0.267,0.718,2.68,1.48,0.217,0.467,0.207,0.10300000000000001,0.07,0.0,14.1,43.2,,,14.1,$12.3,2.85,3.08,0.61,-2.48,3.09,8.99,0.85,0.97,0.83,0.87,1.57,6.0,1.24,-0.61,0.505,93.8,0.13,84.5,,,0.016,77.1,0.349,80.6,,,,,,,7.7,2.3,,0.1,2.4,,,2.24,2.58,,1.23,1.02,,,0.26899999999999996,0.7240000000000001,0.473,0.505,0.727,0.657,0.44799999999999995,0.606,0.162,0.0,0.0,0.0,71.0,60.0,70.0,0.341,0.1,3.41,4.33,0.41,0.505,,,,,,0.13,0.016,,,0.349,,,,93.8,,,,,,84.5,77.0,,,80.5,,,-4.4,,,,,,1.4,2.6,,,-5.1,,,10.7,,,,,,2.3,-8.7,,,7.5,,,8.8,,,,,,4.5,0.5,,,3.7,,,2.57,,,,,,5.08,4.7,,,1.56,,,0.259,0.687,0.473,0.44299999999999995,0.7340000000000001,0.654,0.499,,1.3,0.2,-0.4,-0.3,25 - 25,0.24100000000000002,0.484,0.312,0.204,0.226,0.376,0.39799999999999996,3.23,0.45899999999999996,0.34,,0.02,0.518,,,,,,0.12300000000000001,,80.9,,77.4,94.1,,,,,,84.8,,-4.7,,2.6,-3.9,,,,,,2.1,,6.5,,-10.2,10.0,,,,,,1.5,,2.8,,0.1,5.0,,,,,,2.2,,1.09,,0.86,1.26,,,,,,2.35,,0.243,0.7020000000000001,0.48,0.39299999999999996,0.746,0.659,0.517,
120,2020.0,Lance Lynn,Rangers,33.0,4.0,1.0,1.93,1.4,8.0,8.0,1.0,0.0,0.0,0.0,51.1,202.0,30.0,13.0,11.0,6.0,17.0,0.0,1.0,0.0,0.0,56.0,44.0,56.0,26.0,8.0,317.0,545.0,862.0,20.0,4.0,2.0,0.0,9.82,2.98,3.29,5.26,1.05,0.163,0.92,0.197,0.884,3.53,0.79,0.20600000000000002,0.349,0.14300000000000002,0.107,0.091,0.0,12.9,51.1,,,12.9,$10.8,4.02,4.14,2.09,-2.42,4.5,18.7,1.63,1.05,1.12,0.87,1.33,7.0,1.53,0.45,0.7040000000000001,93.7,0.218,89.2,,,0.07400000000000001,83.5,0.004,83.0,,,,,,,8.3,4.0,,-0.2,0.1,,,1.37,2.12,,-0.27,4.07,,,0.276,0.7340000000000001,0.48,0.674,0.809,0.7659999999999999,0.446,0.589,0.113,0.0,0.0,0.0,40.0,77.0,94.0,0.27699999999999997,0.084,3.96,3.51,-1.6,0.574,,0.191,,,0.13699999999999998,,0.087,,,0.008,,,,94.0,,89.5,,,92.0,,83.9,,,84.6,,,-4.6,,0.3,,,-8.2,,1.2,,,-5.1,,,8.8,,3.8,,,4.1,,-1.3,,,5.3,,,7.3,,2.3,,,2.2,,3.8,,,0.4,,,1.47,,1.41,,,1.83,,5.13,,,5.93,,,0.217,0.7,0.48,0.6,0.812,0.768,0.545,,2.4,0.9,0.1,1.0,33 - 33,0.193,0.344,0.375,0.281,0.18,0.43799999999999994,0.38299999999999995,3.81,0.391,0.006999999999999999,,0.068,0.5589999999999999,0.21600000000000003,,,,0.139,0.01,,84.1,,83.8,94.6,90.0,,,,92.4,86.1,,-3.0,,2.6,-3.6,1.4,,,,-7.3,2.3,,5.0,,-3.7,8.2,3.0,,,,3.1,-0.4,,0.3,,-0.6,7.5,5.0,,,,1.0,-0.3,,4.97,,-0.94,1.56,2.71,,,,0.86,-3.3,,0.217,0.6940000000000001,0.478,0.588,0.8140000000000001,0.767,0.546,
145,2020.0,Kenta Maeda,Twins,32.0,4.0,0.0,2.21,1.4,6.0,6.0,0.0,0.0,0.0,0.0,36.2,136.0,19.0,9.0,9.0,3.0,7.0,0.0,0.0,0.0,0.0,40.0,46.0,25.0,18.0,6.0,170.0,360.0,530.0,36.0,3.0,0.0,0.0,9.82,1.72,5.71,4.66,0.74,0.147,0.71,0.186,0.78,2.59,1.84,0.20199999999999999,0.517,0.24,0.12,0.065,0.0,12.4,36.2,,,12.4,$10.8,2.75,2.86,1.3,-0.73,2.02,11.49,1.08,0.67,0.83,0.84,0.95,6.0,1.69,0.25,0.262,91.7,0.35700000000000004,83.0,0.038,87.7,0.03,79.6,0.313,84.6,,,,,,,5.3,6.2,-0.3,-1.7,3.5,,,3.81,3.3,-1.45,-10.35,2.1,,,0.386,0.701,0.519,0.475,0.866,0.698,0.423,0.669,0.157,0.0,0.0,0.0,50.0,58.0,65.0,0.294,0.052000000000000005,3.17,8.84,-0.38,0.198,,0.049,,,0.062,0.353,0.03,,,0.308,,,,91.9,,87.2,,,91.1,82.8,79.4,,,84.5,,,-5.3,,0.2,,,-9.5,1.3,1.7,,,-7.3,,,8.4,,4.2,,,5.4,3.4,-3.6,,,1.3,,,5.6,,-0.4,,,1.4,-1.4,-1.4,,,10.1,,,5.29,,-1.39,,,4.19,-0.72,-8.75,,,6.18,,,0.361,0.674,0.519,0.42100000000000004,0.8440000000000001,0.698,0.504,,1.6,0.8,-0.5,0.3,32 - 32,0.243,0.41600000000000004,0.36,0.225,0.23600000000000002,0.506,0.258,3.22,0.368,0.308,,0.027999999999999997,0.193,0.036000000000000004,,,,0.07,0.366,,84.9,,79.6,92.4,87.9,,,,91.6,83.4,,-6.9,,2.3,-4.5,1.0,,,,-8.8,2.2,,0.3,,-4.7,7.9,3.6,,,,4.5,2.5,,4.9,,-1.6,3.5,0.1,,,,2.0,4.6,,3.0,,-10.79,3.38,0.78,,,,5.36,2.36,,0.366,0.6629999999999999,0.519,0.426,0.84,0.698,0.515,
177,2020.0,Zack Greinke,Astros,36.0,2.0,0.0,2.68,1.4,7.0,7.0,0.0,0.0,0.0,0.0,40.1,157.0,32.0,12.0,12.0,2.0,6.0,0.0,1.0,3.0,0.0,35.0,45.0,41.0,28.0,4.0,237.0,381.0,618.0,15.0,1.0,1.0,0.0,7.81,1.34,5.83,7.14,0.45,0.213,0.94,0.265,0.746,2.57,1.1,0.24600000000000002,0.395,0.098,0.049,0.022000000000000002,0.0,13.1,40.1,,,13.1,$11.3,3.17,3.91,1.11,-2.28,3.39,8.69,0.87,1.05,1.03,0.86,1.54,7.0,0.9,0.15,0.46799999999999997,87.1,0.152,84.6,,,0.155,70.1,0.225,85.7,,,,,,,2.8,0.7,,2.6,3.7,,,0.96,0.77,,2.74,2.68,,,0.276,0.589,0.39799999999999996,0.606,0.8590000000000001,0.752,0.39,0.5920000000000001,0.099,0.0,0.0,0.0,63.0,59.0,89.0,0.223,0.038,4.0,3.35,0.11,0.413,,,,,0.212,0.142,0.062,,,0.078,,,,88.0,,,,,86.2,84.8,72.5,,,79.2,,,-0.9,,,,,-7.8,3.5,5.8,,,-1.7,,,10.5,,,,,2.9,4.2,-5.8,,,8.5,,,2.8,,,,,6.0,0.6,1.0,,,-0.3,,,1.11,,,,,4.58,0.72,2.59,,,-0.52,,,0.264,0.5539999999999999,0.39799999999999996,0.568,0.8540000000000001,0.752,0.461,,1.5,0.2,-0.1,0.1,36 - 36,0.185,0.365,0.33,0.304,0.209,0.41700000000000004,0.374,3.91,0.27399999999999997,0.225,0.006999999999999999,0.149,0.435,,0.037000000000000005,,,0.002,0.146,,85.7,61.7,70.5,87.7,,77.8,,,89.6,84.8,,-7.3,4.6,6.6,-0.2,,0.6,,,-7.6,4.3,,1.2,-6.2,-8.3,9.1,,7.9,,,7.1,2.6,,3.7,0.4,2.3,2.6,,0.5,,,0.2,0.6,,2.64,9.73,2.47,0.96,,2.16,,,17.88,0.69,,0.262,0.55,0.39799999999999996,0.5529999999999999,0.857,0.752,0.474,
263,2020.0,Luis Castillo,Reds,27.0,0.0,4.0,3.62,1.4,6.0,6.0,0.0,0.0,0.0,0.0,32.1,145.0,35.0,19.0,13.0,1.0,14.0,0.0,0.0,0.0,0.0,45.0,49.0,24.0,13.0,2.0,208.0,378.0,586.0,12.0,6.0,0.0,0.0,12.53,3.9,3.21,9.74,0.28,0.267,1.52,0.4,0.63,2.06,2.04,0.151,0.57,0.083,0.042,0.122,0.0,12.7,32.1,,,12.7,$11.0,2.1,3.1,-0.16,-2.77,2.61,-0.55,-0.04,1.06,0.9,0.89,0.82,6.0,0.03,-0.19,0.495,97.5,0.18100000000000002,86.7,,,,,0.324,88.3,,,,,,,-2.8,1.2,,,-0.7,,,-0.97,1.13,,,-0.39,,,0.315,0.77,0.503,0.537,0.7809999999999999,0.6920000000000001,0.415,0.635,0.155,0.0,0.0,0.0,79.0,45.0,69.0,0.31,0.09699999999999999,3.52,3.34,1.56,0.33299999999999996,,,,,0.162,0.18100000000000002,,,,0.324,,,,97.4,,,,,97.4,86.7,,,,88.3,,,-7.0,,,,,-10.8,-0.8,,,,-9.7,,,6.5,,,,,2.8,0.2,,,,0.9,,,4.0,,,,,-2.8,2.4,,,,4.4,,,2.04,,,,,-2.9,2.25,,,,2.3,,,0.275,0.703,0.503,0.547,0.741,0.6920000000000001,0.534,,0.3,-0.8,-0.3,-1.1,27 - 27,0.214,0.488,0.29100000000000004,0.221,0.198,0.465,0.337,3.56,0.414,0.324,,,0.292,,,,,0.203,0.18100000000000002,,88.6,,,97.7,,,,,97.7,87.0,,-9.2,,,-6.0,,,,,-9.9,0.0,,0.2,,,6.7,,,,,2.1,-0.5,,0.5,,,-0.6,,,,,-2.1,1.2,,0.26,,,-0.37,,,,,-1.77,1.12,,0.293,0.696,0.503,0.537,0.7509999999999999,0.6920000000000001,0.522,
