,Season,Team,G_bat,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP_bat,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR_bat,,W_x,L,SV,G_pitch,GS,IP,SO,K/9,BB/9,HR/9,BABIP_pitch,LOB%,GB%,HR/FB,ERA,FIP,xFIP,WAR_pitch,W_y
0,2019.0,Astros,2309.0,6394.0,288.0,920.0,891.0,67.0,0.10099999999999999,0.182,0.221,0.296,0.274,0.352,0.495,0.355,125.0,88.4,-9.5,196.6,-2.5,40.8,107.0,55.0,47.0,654.0,162.0,1462.1,1671.0,10.28,2.76,1.42,0.27,0.768,0.436,0.16699999999999998,3.66,3.98,3.8,23.7,107
1,2019.0,Dodgers,2413.0,6281.0,279.0,886.0,861.0,57.0,0.09699999999999999,0.21600000000000003,0.215,0.291,0.257,0.338,0.472,0.338,111.0,89.3,11.9,103.0,51.7,34.8,106.0,56.0,44.0,707.0,162.0,1445.2,1519.0,9.46,2.44,1.15,0.271,0.747,0.449,0.141,3.39,3.73,3.87,24.1,106
2,2019.0,Yankees,2312.0,6245.0,306.0,943.0,904.0,55.0,0.091,0.23,0.222,0.306,0.267,0.339,0.49,0.346,117.0,90.0,-0.8,130.8,-14.5,32.7,103.0,59.0,50.0,707.0,162.0,1443.0,1534.0,9.57,3.16,1.55,0.296,0.752,0.424,0.168,4.31,4.47,4.27,18.2,103
3,2019.0,Twins,2320.0,6392.0,307.0,939.0,906.0,28.0,0.08199999999999999,0.209,0.224,0.3,0.27,0.338,0.494,0.347,116.0,89.7,-8.4,120.2,-26.7,31.0,101.0,61.0,50.0,686.0,162.0,1463.1,1463.0,9.0,2.78,1.22,0.309,0.718,0.418,0.134,4.18,4.03,4.27,24.0,101
4,2019.0,Athletics,2363.0,6269.0,257.0,845.0,800.0,49.0,0.092,0.213,0.199,0.282,0.249,0.327,0.448,0.327,107.0,89.4,-1.7,53.4,18.3,28.5,97.0,65.0,45.0,709.0,162.0,1465.0,1299.0,7.98,2.93,1.23,0.278,0.7509999999999999,0.415,0.126,3.97,4.34,4.72,18.8,97
5,2019.0,Red Sox,2455.0,6475.0,245.0,901.0,857.0,68.0,0.091,0.213,0.197,0.313,0.269,0.34,0.466,0.338,106.0,89.9,-7.0,43.2,10.9,27.5,84.0,78.0,33.0,794.0,162.0,1471.0,1633.0,9.99,3.7,1.32,0.312,0.708,0.426,0.14400000000000002,4.7,4.28,4.39,16.5,84
6,2019.0,Braves,2411.0,6302.0,249.0,855.0,824.0,89.0,0.098,0.233,0.195,0.305,0.258,0.336,0.452,0.332,102.0,89.2,11.0,26.5,46.2,26.9,97.0,65.0,44.0,737.0,162.0,1450.2,1393.0,8.64,3.4,1.26,0.302,0.738,0.452,0.15,4.2,4.39,4.42,12.3,97
7,2019.0,Nationals,2327.0,6267.0,231.0,873.0,824.0,116.0,0.09300000000000001,0.209,0.19,0.306,0.265,0.342,0.454,0.336,103.0,88.6,3.7,29.0,35.8,26.0,93.0,69.0,40.0,692.0,162.0,1439.1,1511.0,9.45,3.23,1.26,0.296,0.73,0.426,0.139,4.28,4.14,4.32,22.3,93
8,2019.0,Cubs,2429.0,6195.0,256.0,814.0,783.0,45.0,0.094,0.23600000000000002,0.2,0.297,0.252,0.331,0.452,0.33,102.0,88.9,-2.2,10.4,45.0,24.9,84.0,78.0,38.0,738.0,162.0,1442.0,1444.0,9.01,3.33,1.22,0.3,0.741,0.45899999999999996,0.15,4.1,4.25,4.29,17.0,84
9,2019.0,Brewers,2514.0,6309.0,250.0,769.0,744.0,101.0,0.1,0.248,0.192,0.296,0.246,0.329,0.438,0.324,97.0,89.7,5.9,-20.1,64.6,24.2,89.0,73.0,50.0,750.0,162.0,1459.1,1497.0,9.23,3.52,1.39,0.292,0.731,0.42200000000000004,0.156,4.4,4.46,4.42,12.9,89
