,Season,Team,G_bat,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP_bat,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR_bat,,W_x,L,SV,G_pitch,GS,IP,SO,K/9,BB/9,HR/9,BABIP_pitch,LOB%,GB%,HR/FB,ERA,FIP,xFIP,WAR_pitch,W_y
0,2005.0,Indians,2166.0,6255.0,207.0,790.0,760.0,62.0,0.08,0.175,0.181,0.302,0.271,0.334,0.453,0.34,110.0,,3.6,76.4,20.2,30.9,93.0,69.0,51.0,571.0,162.0,1452.2,1050.0,6.51,2.56,0.97,0.275,0.736,0.44799999999999995,0.102,3.61,3.92,3.97,19.2,93
1,2005.0,Braves,2347.0,6186.0,184.0,769.0,733.0,92.0,0.086,0.175,0.17,0.298,0.265,0.333,0.435,0.331,100.0,,-1.7,-3.1,96.7,29.6,90.0,72.0,38.0,646.0,162.0,1443.2,929.0,5.79,3.24,0.9,0.294,0.7440000000000001,0.467,0.10300000000000001,3.98,4.19,4.23,14.4,90
2,2005.0,Phillies,2273.0,6345.0,167.0,807.0,760.0,116.0,0.10099999999999999,0.171,0.154,0.306,0.27,0.348,0.423,0.335,98.0,,9.2,-2.9,88.2,29.3,88.0,74.0,40.0,604.0,162.0,1435.0,1159.0,7.27,3.05,1.19,0.283,0.7240000000000001,0.444,0.133,4.21,4.29,3.94,16.0,88
3,2005.0,Red Sox,2344.0,6403.0,199.0,910.0,863.0,45.0,0.102,0.163,0.174,0.31,0.281,0.357,0.454,0.352,112.0,,-2.9,92.8,-33.9,27.6,95.0,67.0,38.0,604.0,162.0,1429.0,959.0,6.04,2.77,1.03,0.303,0.6890000000000001,0.424,0.096,4.74,4.28,4.44,13.9,95
4,2005.0,Cardinals,2324.0,6246.0,170.0,805.0,757.0,83.0,0.085,0.152,0.153,0.297,0.27,0.339,0.423,0.331,100.0,,9.0,12.4,54.7,27.1,100.0,62.0,48.0,598.0,162.0,1445.2,974.0,6.06,2.76,0.95,0.282,0.7509999999999999,0.507,0.11599999999999999,3.49,4.09,3.98,15.5,100
5,2005.0,Reds,2309.0,6321.0,222.0,820.0,784.0,72.0,0.09699999999999999,0.20600000000000002,0.185,0.302,0.261,0.339,0.446,0.34,103.0,,12.9,35.5,-10.3,23.2,73.0,89.0,31.0,654.0,163.0,1433.0,955.0,6.0,3.09,1.38,0.309,0.6970000000000001,0.413,0.12300000000000001,5.18,4.87,4.6,7.0,73
6,2005.0,Athletics,2164.0,6275.0,155.0,772.0,739.0,31.0,0.086,0.131,0.145,0.281,0.262,0.33,0.407,0.323,99.0,,12.0,3.9,13.7,23.0,88.0,74.0,38.0,572.0,162.0,1450.1,1075.0,6.67,3.13,0.96,0.271,0.7340000000000001,0.44,0.102,3.7,4.08,4.14,18.3,88
7,2005.0,Cubs,2276.0,6161.0,194.0,703.0,674.0,65.0,0.068,0.149,0.17,0.291,0.27,0.324,0.44,0.329,95.0,,-5.6,-47.4,59.4,21.3,79.0,83.0,39.0,619.0,162.0,1440.0,1256.0,7.85,3.6,1.16,0.284,0.737,0.46,0.135,4.19,4.26,3.9,15.1,79
8,2005.0,Tigers,2211.0,6136.0,168.0,723.0,678.0,66.0,0.063,0.16899999999999998,0.157,0.304,0.272,0.321,0.428,0.324,99.0,,5.5,-5.1,5.9,20.9,71.0,91.0,37.0,587.0,162.0,1435.2,907.0,5.69,2.89,1.21,0.29,0.7040000000000001,0.457,0.11900000000000001,4.52,4.57,4.38,9.7,71
9,2005.0,Rangers,2193.0,6301.0,260.0,865.0,834.0,67.0,0.079,0.17600000000000002,0.201,0.29,0.267,0.329,0.468,0.344,106.0,,6.2,49.1,-54.3,20.8,79.0,83.0,46.0,616.0,162.0,1440.0,932.0,5.83,3.26,0.99,0.304,0.674,0.46,0.1,4.97,4.37,4.46,13.7,79
10,2005.0,Padres,2380.0,6271.0,130.0,684.0,655.0,99.0,0.096,0.156,0.134,0.289,0.257,0.333,0.391,0.318,98.0,,-0.3,-19.8,17.7,20.3,82.0,80.0,45.0,618.0,162.0,1455.1,1133.0,7.01,3.11,0.9,0.295,0.71,0.43,0.092,4.13,3.9,4.1,17.4,82
11,2005.0,Brewers,2226.0,6156.0,175.0,726.0,689.0,79.0,0.086,0.18899999999999997,0.163,0.298,0.259,0.331,0.423,0.327,95.0,,-5.2,-44.4,37.3,19.4,81.0,81.0,46.0,557.0,162.0,1438.0,1173.0,7.34,3.56,1.06,0.285,0.738,0.414,0.105,3.98,4.2,4.22,16.5,81
12,2005.0,Blue Jays,2281.0,6233.0,136.0,775.0,735.0,72.0,0.078,0.153,0.142,0.296,0.265,0.331,0.407,0.323,94.0,,12.3,-33.3,13.6,19.1,80.0,82.0,35.0,594.0,162.0,1447.0,958.0,5.96,2.76,1.15,0.286,0.742,0.457,0.11699999999999999,4.06,4.42,4.26,14.0,80
13,2005.0,Orioles,2323.0,6134.0,189.0,729.0,700.0,83.0,0.073,0.147,0.165,0.289,0.269,0.327,0.434,0.33,101.0,,-9.5,-0.6,-18.7,18.8,74.0,88.0,38.0,636.0,162.0,1427.2,1052.0,6.63,3.66,1.13,0.292,0.7020000000000001,0.455,0.11900000000000001,4.56,4.51,4.34,12.4,74
14,2005.0,Marlins,2296.0,6214.0,128.0,717.0,678.0,96.0,0.08199999999999999,0.14800000000000002,0.137,0.304,0.272,0.339,0.409,0.326,98.0,,-7.1,-23.0,2.5,18.2,83.0,79.0,42.0,611.0,162.0,1442.1,1125.0,7.02,3.51,0.72,0.308,0.7040000000000001,0.452,0.08199999999999999,4.19,3.81,4.13,21.2,83
15,2005.0,Astros,2324.0,6139.0,161.0,693.0,654.0,115.0,0.078,0.16899999999999998,0.152,0.288,0.256,0.322,0.408,0.318,90.0,,-0.1,-77.8,58.5,18.1,89.0,73.0,45.0,597.0,163.0,1443.0,1164.0,7.26,2.74,0.97,0.281,0.758,0.46399999999999997,0.113,3.52,3.84,3.75,22.6,89
