,Season,Name,Team,Age,W,L,ERA,WAR,G,GS,CG,ShO,SV,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GB,FB,LD,IFFB,Balls,Strikes,Pitches,RS,IFH,BU,BUH,K/9,BB/9,K/BB,H/9,HR/9,AVG,WHIP,BABIP,LOB%,FIP,GB/FB,LD%,GB%,IFFB%,HR/FB,IFH%,BUH%,Starting,Start-IP,Relieving,Relief-IP,RAR,Dollars,tERA,xFIP,WPA,-WPA,+WPA,RE24,REW,pLI,inLI,gmLI,exLI,Pulls,WPA/LI,Clutch,FB%,FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,PO%,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,HLD,SD,MD,ERA-,FIP-,xFIP-,K%,BB%,SIERA,RS/9,E-F,FA% (pfx),FT% (pfx),FC% (pfx),FS% (pfx),FO% (pfx),SI% (pfx),SL% (pfx),CU% (pfx),KC% (pfx),EP% (pfx),CH% (pfx),SC% (pfx),KN% (pfx),UN% (pfx),vFA (pfx),vFT (pfx),vFC (pfx),vFS (pfx),vFO (pfx),vSI (pfx),vSL (pfx),vCU (pfx),vKC (pfx),vEP (pfx),vCH (pfx),vSC (pfx),vKN (pfx),FA-X (pfx),FT-X (pfx),FC-X (pfx),FS-X (pfx),FO-X (pfx),SI-X (pfx),SL-X (pfx),CU-X (pfx),KC-X (pfx),EP-X (pfx),CH-X (pfx),SC-X (pfx),KN-X (pfx),FA-Z (pfx),FT-Z (pfx),FC-Z (pfx),FS-Z (pfx),FO-Z (pfx),SI-Z (pfx),SL-Z (pfx),CU-Z (pfx),KC-Z (pfx),EP-Z (pfx),CH-Z (pfx),SC-Z (pfx),KN-Z (pfx),wFA (pfx),wFT (pfx),wFC (pfx),wFS (pfx),wFO (pfx),wSI (pfx),wSL (pfx),wCU (pfx),wKC (pfx),wEP (pfx),wCH (pfx),wSC (pfx),wKN (pfx),wFA/C (pfx),wFT/C (pfx),wFC/C (pfx),wFS/C (pfx),wFO/C (pfx),wSI/C (pfx),wSL/C (pfx),wCU/C (pfx),wKC/C (pfx),wEP/C (pfx),wCH/C (pfx),wSC/C (pfx),wKN/C (pfx),O-Swing% (pfx),Z-Swing% (pfx),Swing% (pfx),O-Contact% (pfx),Z-Contact% (pfx),Contact% (pfx),Zone% (pfx),Pace,RA9-WAR,BIP-Wins,LOB-Wins,FDP-Wins,Age Rng,K-BB%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,kwERA,TTO%,CH% (pi),CS% (pi),CU% (pi),FA% (pi),FC% (pi),FS% (pi),KN% (pi),SB% (pi),SI% (pi),SL% (pi),XX% (pi),vCH (pi),vCS (pi),vCU (pi),vFA (pi),vFC (pi),vFS (pi),vKN (pi),vSB (pi),vSI (pi),vSL (pi),vXX (pi),CH-X (pi),CS-X (pi),CU-X (pi),FA-X (pi),FC-X (pi),FS-X (pi),KN-X (pi),SB-X (pi),SI-X (pi),SL-X (pi),XX-X (pi),CH-Z (pi),CS-Z (pi),CU-Z (pi),FA-Z (pi),FC-Z (pi),FS-Z (pi),KN-Z (pi),SB-Z (pi),SI-Z (pi),SL-Z (pi),XX-Z (pi),wCH (pi),wCS (pi),wCU (pi),wFA (pi),wFC (pi),wFS (pi),wKN (pi),wSB (pi),wSI (pi),wSL (pi),wXX (pi),wCH/C (pi),wCS/C (pi),wCU/C (pi),wFA/C (pi),wFC/C (pi),wFS/C (pi),wKN/C (pi),wSB/C (pi),wSI/C (pi),wSL/C (pi),wXX/C (pi),O-Swing% (pi),Z-Swing% (pi),Swing% (pi),O-Contact% (pi),Z-Contact% (pi),Contact% (pi),Zone% (pi),Pace (pi)
94,2020.0,Shane Bieber,Indians,25.0,6.0,0.0,1.35,2.1,7.0,7.0,0.0,0.0,0.0,0.0,46.2,175.0,29.0,7.0,7.0,4.0,9.0,0.0,1.0,2.0,0.0,75.0,46.0,24.0,20.0,0.0,254.0,451.0,705.0,18.0,4.0,0.0,0.0,14.46,1.74,8.33,5.59,0.77,0.176,0.81,0.291,0.958,1.67,1.92,0.222,0.511,0.0,0.16699999999999998,0.087,0.0,18.3,46.2,,,18.3,$16.8,2.13,1.57,2.0,-2.12,4.12,19.07,1.8,1.05,1.09,0.87,1.46,7.0,1.61,0.3,0.34,94.1,0.152,84.2,0.19,89.0,0.254,83.2,0.064,88.0,,,,,,,3.8,2.2,3.0,6.2,0.8,,,1.59,2.02,2.25,3.44,1.79,,,0.389,0.647,0.474,0.419,0.84,0.608,0.32899999999999996,0.6459999999999999,0.18600000000000003,0.0,0.0,0.0,29.0,38.0,36.0,0.429,0.051,2.1,3.47,-0.32,0.33899999999999997,,0.192,,,,0.153,,0.253,,0.064,,,,94.0,,88.9,,,,84.1,,83.1,,88.0,,,-5.2,,0.9,,,,0.3,,4.8,,-9.1,,,10.6,,4.9,,,,-2.3,,-7.8,,3.7,,,4.5,,0.4,,,,3.5,,9.7,,1.5,,,1.89,,0.32,,,,3.26,,5.47,,3.3,,,0.376,0.607,0.474,0.386,0.7959999999999999,0.608,0.423,,2.7,0.0,0.7,0.7,25 - 25,0.377,0.37799999999999995,0.41100000000000003,0.21100000000000002,0.156,0.5,0.344,1.61,0.503,0.064,,0.253,0.33899999999999997,0.19,,,,0.001,0.153,,88.3,,83.5,94.4,89.2,,,,94.7,84.5,,-9.0,,5.3,-4.9,1.5,,,,-8.7,0.8,,2.7,,-9.1,9.9,4.2,,,,8.1,-3.2,,0.9,,6.5,4.1,3.1,,,,0.0,1.7,,1.9,,3.68,1.71,2.28,,,,4.18,1.57,,0.381,0.601,0.474,0.374,0.81,0.608,0.423,
103,2020.0,Yu Darvish,Cubs,33.0,6.0,1.0,1.47,1.8,7.0,7.0,0.0,0.0,0.0,0.0,43.0,169.0,35.0,7.0,7.0,2.0,8.0,0.0,2.0,2.0,0.0,52.0,41.0,31.0,33.0,2.0,216.0,445.0,661.0,22.0,2.0,1.0,0.0,10.88,1.67,6.5,7.33,0.42,0.22,1.0,0.314,0.9009999999999999,2.02,1.32,0.314,0.39,0.065,0.065,0.049,0.0,16.7,43.0,,,16.7,$14.6,3.3,2.83,1.88,-2.26,4.14,16.0,1.56,1.16,1.07,0.89,1.08,7.0,1.31,0.31,0.248,95.5,0.147,82.1,0.405,86.9,0.13,77.7,0.012,88.4,0.057999999999999996,90.8,,,,,0.8,2.9,6.6,1.5,0.2,0.8,,0.51,3.03,2.45,1.7,2.24,2.0,,0.341,0.657,0.489,0.467,0.778,0.6629999999999999,0.46799999999999997,0.615,0.165,0.0,0.0,0.0,32.0,44.0,62.0,0.308,0.047,3.17,4.6,-0.55,0.151,,0.475,0.026000000000000002,,0.085,0.15,0.035,0.076,,,,,,95.9,,87.2,89.3,,95.3,81.9,73.8,79.2,,,,,-4.1,,1.8,-7.0,,-8.1,7.5,5.3,4.9,,,,,10.6,,0.4,5.7,,7.4,-1.5,-7.8,-7.2,,,,,4.7,,4.3,0.9,,0.7,3.7,0.1,0.9,,,,,4.72,,1.36,5.26,,1.31,3.72,0.38,1.89,,,,,0.301,0.6559999999999999,0.49,0.344,0.792,0.664,0.5329999999999999,,2.4,-0.3,0.8,0.6,33 - 33,0.26,0.425,0.34,0.23600000000000002,0.198,0.377,0.425,3.02,0.36700000000000005,0.008,0.012,0.191,0.157,0.053,0.061,,,0.08800000000000001,0.431,,89.2,69.9,79.8,96.4,92.4,91.0,,,95.3,86.1,,-7.0,6.3,6.2,-3.7,1.0,-2.0,,,-7.7,3.9,,4.8,-9.9,-6.6,9.8,6.2,2.1,,,6.4,-1.4,,0.3,0.2,1.3,0.1,-1.4,0.5,,,0.8,11.8,,5.62,2.47,1.05,0.12,-4.04,1.33,,,1.39,4.12,,0.314,0.633,0.49,0.33299999999999996,0.797,0.664,0.552,
93,2020.0,Max Fried,Braves,26.0,5.0,0.0,1.35,1.6,7.0,7.0,0.0,0.0,0.0,0.0,40.0,153.0,26.0,6.0,6.0,0.0,12.0,0.0,2.0,0.0,0.0,38.0,57.0,26.0,18.0,3.0,226.0,388.0,614.0,31.0,4.0,0.0,0.0,8.55,2.7,3.17,5.85,0.0,0.187,0.95,0.257,0.85,2.28,2.19,0.17800000000000002,0.564,0.115,0.0,0.07,0.0,14.6,40.0,,,14.6,$12.4,2.38,3.56,1.43,-1.96,3.39,15.02,1.49,1.08,1.06,0.89,1.41,7.0,1.29,0.03,0.515,93.5,0.24100000000000002,84.4,,,0.207,74.5,0.038,84.0,,,,,,,7.2,2.6,,-0.1,0.5,,,2.29,1.73,,-0.1,1.97,,,0.317,0.6970000000000001,0.474,0.57,0.8590000000000001,0.746,0.414,0.608,0.121,0.0,0.0,0.0,29.0,51.0,78.0,0.248,0.078,3.85,6.98,-0.93,0.456,,,,,0.059000000000000004,0.24100000000000002,0.207,,,0.038,,,,93.5,,,,,92.9,84.3,74.5,,,84.0,,,1.5,,,,,7.3,-6.4,-5.9,,,5.8,,,6.6,,,,,5.2,0.1,-9.9,,,3.5,,,5.6,,,,,-0.1,2.9,3.7,,,0.8,,,1.99,,,,,-0.41,1.96,2.88,,,3.43,,,0.28300000000000003,0.67,0.474,0.511,0.847,0.746,0.494,,2.3,0.3,0.5,0.7,26 - 26,0.17,0.455,0.297,0.248,0.248,0.436,0.317,4.1,0.327,0.038,,0.207,0.43,,,,,0.085,0.239,0.002,84.2,,74.8,93.8,,,,,93.4,84.6,99.4,5.6,,-6.4,0.9,,,,,6.3,-7.1,1.2,2.6,,-11.4,6.0,,,,,4.4,-1.0,7.9,0.5,,0.0,4.4,,,,,2.9,2.6,-0.1,1.97,,-0.03,1.66,,,,,5.61,1.8,-8.67,0.28,0.659,0.474,0.5,0.845,0.746,0.511,
114,2020.0,Jacob deGrom,Mets,32.0,2.0,0.0,1.8,1.6,6.0,6.0,0.0,0.0,0.0,0.0,35.0,133.0,22.0,7.0,7.0,2.0,7.0,0.0,0.0,3.0,0.0,49.0,40.0,24.0,13.0,1.0,182.0,375.0,557.0,19.0,3.0,0.0,0.0,12.6,1.8,7.0,5.66,0.51,0.175,0.83,0.267,0.84,1.67,1.67,0.16899999999999998,0.519,0.042,0.083,0.075,0.0,14.7,35.0,,,14.7,$12.9,1.6,2.28,1.22,-1.28,2.5,9.81,1.04,0.91,0.97,0.87,1.22,6.0,1.11,0.23,0.439,98.5,0.331,92.7,,,0.04,83.7,0.191,91.1,,,,,0.002,,5.8,2.1,,1.4,2.7,,,2.4,1.15,,6.14,2.55,,,0.382,0.72,0.514,0.496,0.7390000000000001,0.629,0.392,0.5870000000000001,0.19,0.0,0.0,0.0,42.0,37.0,50.0,0.368,0.053,2.6,4.89,0.13,0.44,,,,,,0.33,0.04,,,0.19,,,,98.5,,,,,,92.7,83.6,,,91.0,,,-4.1,,,,,,1.4,3.8,,,-8.0,,,9.4,,,,,,3.1,-2.5,,,2.0,,,4.1,,,,,,3.5,1.1,,,3.8,,,1.66,,,,,,1.92,4.86,,,3.63,,,0.32299999999999995,0.691,0.514,0.35600000000000004,0.7490000000000001,0.629,0.517,,1.7,0.1,0.0,0.1,32 - 32,0.316,0.377,0.35100000000000003,0.273,0.182,0.39,0.429,2.35,0.436,0.191,,0.04,0.439,,,,,,0.331,,91.5,,84.1,99.0,,,,,,93.2,,-7.7,,4.2,-3.5,,,,,,2.1,,0.9,,-3.6,8.6,,,,,,2.1,,2.8,,1.4,6.0,,,,,,2.1,,2.6,,6.14,2.44,,,,,,1.13,,0.321,0.6940000000000001,0.514,0.384,0.735,0.629,0.518,
127,2020.0,Sonny Gray,Reds,30.0,5.0,1.0,1.94,1.5,7.0,7.0,0.0,0.0,0.0,0.0,41.2,167.0,27.0,12.0,9.0,3.0,15.0,0.0,2.0,4.0,0.0,55.0,41.0,26.0,28.0,4.0,258.0,421.0,679.0,32.0,3.0,0.0,0.0,11.88,3.24,3.67,5.83,0.65,0.18,1.01,0.261,0.804,2.65,1.58,0.295,0.43200000000000005,0.154,0.115,0.073,0.0,14.2,41.2,,,14.2,$12.0,3.71,2.94,1.27,-2.03,3.3,13.06,1.26,1.0,0.98,0.9,1.14,7.0,0.83,0.43,0.526,93.2,0.158,83.2,,,0.278,80.7,0.038,89.8,,,,,,,6.3,-0.3,,3.0,1.4,,,1.75,-0.33,,1.6,5.22,,,0.27899999999999997,0.5820000000000001,0.396,0.56,0.8370000000000001,0.718,0.387,0.551,0.11199999999999999,0.0,0.0,0.0,42.0,57.0,65.0,0.32899999999999996,0.09,3.4,6.91,-0.71,0.292,,,,,0.23,0.166,0.27,,,0.043,,,,93.2,,,,,93.1,82.9,80.7,,,89.8,,,-1.7,,,,,-7.3,9.0,8.4,,,-8.1,,,8.8,,,,,6.0,-3.1,-7.0,,,7.4,,,0.2,,,,,8.4,2.2,3.7,,,0.6,,,0.08,,,,,5.4,1.96,2.0,,,2.13,,,0.239,0.574,0.396,0.488,0.825,0.718,0.47,,1.7,0.2,0.0,0.2,30 - 30,0.24,0.474,0.326,0.2,0.147,0.42100000000000004,0.43200000000000005,3.27,0.43700000000000006,0.01,,0.253,0.282,0.003,,,,0.271,0.182,,89.2,,81.1,93.6,91.6,,,,93.3,83.6,,-7.1,,8.8,-1.2,2.0,,,,-7.3,9.7,,7.3,,-8.2,8.2,5.8,,,,5.3,-4.4,,-0.3,,2.9,3.7,0.3,,,,6.3,1.2,,-3.93,,1.49,1.71,14.74,,,,3.02,0.85,,0.24,0.5720000000000001,0.39799999999999996,0.46399999999999997,0.8290000000000001,0.713,0.47600000000000003,
219,2020.0,Lucas Giolito,White Sox,25.0,3.0,2.0,3.09,1.5,7.0,7.0,1.0,1.0,0.0,0.0,43.2,170.0,27.0,16.0,15.0,3.0,17.0,0.0,2.0,2.0,0.0,58.0,43.0,29.0,20.0,6.0,246.0,433.0,679.0,21.0,3.0,1.0,0.0,11.95,3.5,3.41,5.56,0.62,0.179,1.01,0.267,0.718,2.67,1.48,0.217,0.467,0.207,0.10300000000000001,0.07,0.0,14.1,43.2,,,14.1,$12.2,2.85,3.09,0.61,-2.48,3.09,8.99,0.85,0.97,0.83,0.87,1.57,6.0,1.24,-0.61,0.505,93.8,0.13,84.5,,,0.016,77.1,0.349,80.6,,,,,,,7.7,2.3,,0.1,2.5,,,2.25,2.58,,1.22,1.04,,,0.26899999999999996,0.7240000000000001,0.473,0.505,0.727,0.657,0.44799999999999995,0.606,0.162,0.0,0.0,0.0,72.0,60.0,70.0,0.341,0.1,3.42,4.33,0.42,0.505,,,,,,0.13,0.016,,,0.349,,,,93.8,,,,,,84.5,77.0,,,80.5,,,-4.4,,,,,,1.4,2.6,,,-5.1,,,10.7,,,,,,2.3,-8.7,,,7.5,,,8.9,,,,,,4.5,0.5,,,3.7,,,2.58,,,,,,5.09,4.73,,,1.57,,,0.259,0.687,0.473,0.44299999999999995,0.7340000000000001,0.654,0.499,,1.2,0.2,-0.4,-0.3,25 - 25,0.24100000000000002,0.484,0.312,0.204,0.226,0.376,0.39799999999999996,3.25,0.45899999999999996,0.34,,0.02,0.518,,,,,,0.12300000000000001,,80.8,,77.4,94.1,,,,,,84.8,,-4.7,,2.6,-3.9,,,,,,2.1,,6.5,,-10.2,10.0,,,,,,1.5,,2.9,,0.1,5.0,,,,,,2.2,,1.11,,0.86,1.27,,,,,,2.34,,0.243,0.7020000000000001,0.48,0.39299999999999996,0.746,0.659,0.517,
172,2020.0,Kenta Maeda,Twins,32.0,4.0,1.0,2.53,1.4,7.0,7.0,0.0,0.0,0.0,0.0,42.2,160.0,25.0,12.0,12.0,5.0,7.0,0.0,0.0,0.0,0.0,48.0,52.0,31.0,22.0,7.0,201.0,420.0,621.0,38.0,3.0,0.0,0.0,10.13,1.48,6.86,5.27,1.05,0.163,0.75,0.2,0.8,2.9,1.68,0.21,0.495,0.226,0.161,0.057999999999999996,0.0,13.0,42.2,,,13.0,$11.1,3.13,2.8,1.27,-1.19,2.46,11.9,1.12,0.7,0.86,0.84,0.93,7.0,1.76,0.05,0.261,91.6,0.37200000000000005,83.0,0.032,87.7,0.026000000000000002,79.6,0.309,84.5,,,,,,,4.3,6.7,-0.3,-1.7,3.8,,,2.65,2.91,-1.44,-10.34,1.99,,,0.387,0.703,0.519,0.493,0.852,0.696,0.41700000000000004,0.6629999999999999,0.158,0.0,0.0,0.0,57.0,65.0,64.0,0.3,0.044000000000000004,3.1,8.02,-0.37,0.198,,0.042,,,0.061,0.36700000000000005,0.026000000000000002,,,0.306,,,,91.8,,87.2,,,91.1,82.9,79.4,,,84.5,,,-5.3,,0.2,,,-9.5,1.0,1.7,,,-7.4,,,8.6,,4.2,,,5.5,3.6,-3.6,,,1.3,,,6.6,,-0.4,,,-0.2,-0.9,-1.4,,,11.2,,,5.35,,-1.38,,,-0.65,-0.4,-8.73,,,5.91,,,0.35600000000000004,0.6829999999999999,0.519,0.43200000000000005,0.8340000000000001,0.696,0.498,,1.7,0.8,-0.5,0.3,32 - 32,0.256,0.429,0.36200000000000004,0.21,0.248,0.495,0.257,3.07,0.375,0.304,,0.024,0.193,0.031,,,,0.068,0.38,,84.9,,79.6,92.2,87.9,,,,91.5,83.4,,-7.0,,2.3,-4.6,1.0,,,,-8.9,1.8,,0.3,,-4.7,8.0,3.6,,,,4.5,2.7,,5.2,,-1.6,4.2,0.1,,,,0.3,5.1,,2.73,,-10.78,3.46,0.79,,,,0.69,2.15,,0.365,0.6729999999999999,0.519,0.447,0.8320000000000001,0.696,0.498,
183,2020.0,Zack Greinke,Astros,36.0,2.0,0.0,2.68,1.4,7.0,7.0,0.0,0.0,0.0,0.0,40.1,157.0,32.0,12.0,12.0,2.0,6.0,0.0,1.0,3.0,0.0,35.0,45.0,41.0,28.0,4.0,237.0,381.0,618.0,15.0,1.0,1.0,0.0,7.81,1.34,5.83,7.14,0.45,0.213,0.94,0.265,0.746,2.56,1.1,0.24600000000000002,0.395,0.098,0.049,0.022000000000000002,0.0,13.0,40.1,,,13.0,$11.2,3.17,3.92,1.11,-2.28,3.39,8.69,0.87,1.05,1.03,0.86,1.54,7.0,0.9,0.15,0.46799999999999997,87.1,0.152,84.6,,,0.155,70.1,0.225,85.7,,,,,,,2.8,0.7,,2.6,3.7,,,0.98,0.76,,2.75,2.69,,,0.276,0.589,0.39799999999999996,0.606,0.8590000000000001,0.752,0.39,0.5920000000000001,0.099,0.0,0.0,0.0,63.0,59.0,89.0,0.223,0.038,4.01,3.35,0.12,0.41100000000000003,,,,,0.212,0.14400000000000002,0.062,,,0.078,,,,88.0,,,,,86.2,84.8,72.5,,,79.2,,,-0.9,,,,,-7.8,3.5,5.8,,,-1.7,,,10.5,,,,,2.9,4.2,-5.8,,,8.5,,,2.9,,,,,6.0,0.6,1.0,,,-0.2,,,1.12,,,,,4.59,0.68,2.61,,,-0.51,,,0.263,0.5579999999999999,0.39799999999999996,0.568,0.8540000000000001,0.752,0.45799999999999996,,1.5,0.2,-0.1,0.1,36 - 36,0.185,0.365,0.33,0.304,0.2,0.426,0.374,3.92,0.27399999999999997,0.225,0.006999999999999999,0.149,0.435,,0.037000000000000005,,,0.002,0.146,,85.7,61.7,70.5,87.7,,77.8,,,89.6,84.8,,-7.3,4.6,6.6,-0.2,,0.6,,,-7.6,4.3,,1.2,-6.2,-8.3,9.1,,7.9,,,7.1,2.6,,3.7,0.4,2.3,2.6,,0.5,,,0.2,0.6,,2.65,9.72,2.48,0.97,,2.16,,,17.87,0.69,,0.262,0.55,0.39799999999999996,0.5529999999999999,0.857,0.752,0.474,
119,2020.0,Lance Lynn,Rangers,33.0,4.0,1.0,1.93,1.3,8.0,8.0,1.0,0.0,0.0,0.0,51.1,202.0,30.0,13.0,11.0,6.0,17.0,0.0,1.0,0.0,0.0,56.0,44.0,56.0,26.0,8.0,317.0,545.0,862.0,20.0,4.0,2.0,0.0,9.82,2.98,3.29,5.26,1.05,0.163,0.92,0.197,0.884,3.52,0.79,0.20600000000000002,0.349,0.14300000000000002,0.107,0.091,0.0,12.8,51.1,,,12.8,$10.8,4.02,4.15,2.09,-2.42,4.5,18.7,1.63,1.05,1.12,0.87,1.33,7.0,1.53,0.45,0.7020000000000001,93.7,0.22,89.3,,,0.07400000000000001,83.5,0.004,83.0,,,,,,,8.2,4.2,,-0.2,0.1,,,1.36,2.21,,-0.28,4.04,,,0.276,0.7340000000000001,0.48,0.674,0.809,0.7659999999999999,0.446,0.589,0.113,0.0,0.0,0.0,40.0,77.0,94.0,0.27699999999999997,0.084,3.97,3.51,-1.59,0.574,,0.191,,,0.13699999999999998,,0.087,,,0.008,,,,94.0,,89.5,,,92.0,,83.9,,,84.6,,,-4.6,,0.3,,,-8.2,,1.2,,,-5.1,,,8.8,,3.8,,,4.1,,-1.3,,,5.3,,,7.3,,2.4,,,2.2,,3.9,,,0.4,,,1.48,,1.43,,,1.84,,5.15,,,5.96,,,0.21600000000000003,0.7020000000000001,0.48,0.6,0.812,0.768,0.544,,2.4,0.9,0.1,1.0,33 - 33,0.193,0.344,0.375,0.281,0.18,0.43799999999999994,0.38299999999999995,3.82,0.391,0.006999999999999999,,0.068,0.5589999999999999,0.21600000000000003,,,,0.139,0.01,,84.0,,83.8,94.6,89.9,,,,92.3,86.1,,-3.0,,2.6,-3.6,1.4,,,,-7.3,2.3,,4.9,,-3.7,8.2,3.0,,,,3.1,-0.4,,0.3,,-0.6,7.6,5.1,,,,1.0,-0.3,,5.0,,-0.97,1.58,2.73,,,,0.87,-3.29,,0.21600000000000003,0.6970000000000001,0.478,0.588,0.8140000000000001,0.767,0.544,
140,2020.0,Pablo Lopez,Marlins,24.0,3.0,2.0,2.1,1.3,6.0,6.0,0.0,0.0,0.0,0.0,34.1,142.0,33.0,12.0,8.0,1.0,7.0,1.0,0.0,0.0,0.0,32.0,62.0,22.0,19.0,3.0,163.0,328.0,491.0,18.0,5.0,0.0,0.0,8.39,1.83,4.57,8.65,0.26,0.244,1.17,0.314,0.725,2.26,2.82,0.184,0.602,0.136,0.045,0.081,0.0,12.6,34.1,,,12.6,$10.8,2.39,3.14,0.51,-2.15,2.66,4.62,0.45,1.02,0.93,0.87,0.83,6.0,0.45,0.05,0.53,93.5,,,0.1,90.2,0.065,78.8,0.306,87.1,,,,,0.002,,4.4,,-0.2,0.1,0.7,,,1.7,,-0.43,0.37,0.48,,,0.35,0.7609999999999999,0.521,0.65,0.8009999999999999,0.742,0.418,0.599,0.134,0.0,0.0,0.0,49.0,51.0,69.0,0.225,0.049,3.48,4.72,-0.16,0.263,,0.106,,,0.261,,0.065,,,0.306,,,,93.8,,90.3,,,93.2,,78.6,,,87.0,,,-4.5,,-0.8,,,-9.5,,7.7,,,-10.2,,,7.6,,5.1,,,4.2,,-3.5,,,2.1,,,1.4,,-1.0,,,3.2,,1.0,,,1.1,,,1.11,,-1.96,,,2.51,,2.98,,,0.76,,,0.304,0.7290000000000001,0.521,0.63,0.787,0.742,0.511,,1.0,-0.2,-0.1,-0.3,24 - 24,0.17600000000000002,0.456,0.29100000000000004,0.252,0.214,0.43700000000000006,0.35,4.03,0.282,0.306,,0.065,0.259,0.10400000000000001,,,,0.267,,,87.5,,79.1,94.3,90.8,,,,93.7,,,-9.6,,8.6,-3.7,0.2,,,,-8.9,,,0.8,,-5.1,6.7,4.0,,,,3.1,,,0.7,,0.1,0.2,-0.1,,,,4.1,,,0.5,,0.31,0.18,-0.13,,,,3.15,,,0.313,0.731,0.521,0.649,0.782,0.742,0.499,
